,Year,Power Source,Power Source Share
0,2019-01-01,Coal,39.65
16,2019-01-01,Hydro,38.93
4,2019-01-01,Gas,9.83
20,2019-01-01,Wind,5.35
12,2019-01-01,Nuclear,3.16
24,2019-01-01,Solar,1.57
8,2019-01-01,Oil,1.13
28,2019-01-01,Other renewable,0.32
1,2020-01-01,Coal,40.37
17,2020-01-01,Hydro,33.67
5,2020-01-01,Gas,12.83
21,2020-01-01,Wind,5.19
13,2020-01-01,Nuclear,4.02
25,2020-01-01,Solar,1.83
9,2020-01-01,Oil,1.21
29,2020-01-01,Other renewable,0.46
2,2021-01-01,Coal,38.23
6,2021-01-01,Gas,22.92
18,2021-01-01,Hydro,18.5
14,2021-01-01,Nuclear,8.85
22,2021-01-01,Wind,6.02
26,2021-01-01,Solar,2.73
10,2021-01-01,Oil,1.47
30,2021-01-01,Other renewable,1.23
3,2022-01-01,Coal,36.55
7,2022-01-01,Gas,24.97
19,2022-01-01,Hydro,14.87
15,2022-01-01,Nuclear,11.3
23,2022-01-01,Wind,6.52
27,2022-01-01,Solar,3.17
31,2022-01-01,Other renewable,1.72
11,2022-01-01,Oil,0.89
