Country,Entity,Code
Mainland China,China,CHN
Montenegro,Montenegro,MNE
Finland,Finland,FIN
Lebanon,Lebanon,LBN
Syria,Syria,SYR
Vietnam,Vietnam,VNM
Albania,Albania,ALB
Myanmar,World,OWID_WRL
Zimbabwe,Zimbabwe,ZWE
Slovakia,Slovakia,SVK
Argentina,Argentina,ARG
Sweden,Sweden,SWE
Italy,Italy,ITA
Hungary,Hungary,HUN
Romania,Romania,ROU
Kuwait,Kuwait,KWT
United Arab Emirates,United Arab Emirates,ARE
Trinidad and Tobago,Trinidad and Tobago,TTO
Taiwan,Taiwan,TWN
Brunei,Brunei,BRN
Ethiopia,Ethiopia,ETH
United Kingdom,United Kingdom,GBR
Netherlands,Netherlands,NLD
Uzbekistan,Uzbekistan,UZB
Iceland,Iceland,ISL
France,France,FRA
Mongolia,Mongolia,MNG
Armenia,Armenia,ARM
Kyrgyzstan,Kyrgyzstan,KGZ
Thailand,Thailand,THA
Paraguay,Paraguay,PRY
Ukraine,Ukraine,UKR
Georgia,Georgia,GEO
Venezuela,Venezuela,VEN
Germany,Germany,DEU
Norway,Norway,NOR
Canada,Canada,CAN
Libya,Libya,LBY
Kazakhstan,Kazakhstan,KAZ
"Iran, Islamic Rep.",Iran,IRN
Malaysia,Malaysia,MYS
United States,United States,USA
India,India,IND
South Africa,South Africa,ZAF
Mexico,Mexico,MEX
Russian Federation,Russia,RUS
Indonesia,Indonesia,IDN
Bhutan,Bhutan,BTN
Dominican Republic,Dominican Republic,DOM
Belarus,Belarus,BLR
Portugal,Portugal,PRT
Greece,Greece,GRC
Kosovo,World,OWID_WRL
"Hong Kong SAR, China",Hong Kong,HKG
Austria,Austria,AUT
Czech Republic,Czechia,CZE
Lithuania,Lithuania,LTU
Serbia,Serbia,SRB
Laos,Laos,LAO
Singapore,Singapore,SGP
"Egypt, Arab Rep.",Egypt,EGY
Poland,Poland,POL
North Macedonia,North Macedonia,MKD
Switzerland,Switzerland,CHE
Latvia,Latvia,LVA
Spain,Spain,ESP
Azerbaijan,Azerbaijan,AZE
Peru,Peru,PER
Bulgaria,Bulgaria,BGR
Brazil,Brazil,BRA
"Korea, Rep.",South Korea,KOR
Estonia,Estonia,EST
Colombia,Colombia,COL
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Moldova,Moldova,MDA
Turkey,Turkey,TUR
Belgium,Belgium,BEL
Jordan,Jordan,JOR
Saudi Arabia,Saudi Arabia,SAU
Seychelles,Seychelles,SYC
Japan,Japan,JPN
Turkmenistan,Turkmenistan,TKM
Angola,Angola,AGO
Panama,Panama,PAN
Honduras,Honduras,HND
Australia,Australia,AUS
Qatar,Qatar,QAT
Ireland,Ireland,IRL
Israel,Israel,ISR
Morocco,Morocco,MAR
Philippines,Philippines,PHL
Tajikistan,Tajikistan,TJK
Republic of the Congo,Congo,COG
Oman,Oman,OMN
Tanzania,Tanzania,TZA
Croatia,Croatia,HRV
Bangladesh,Bangladesh,BGD
Monaco,World,OWID_WRL
Nigeria,Nigeria,NGA
Bahrain,Bahrain,BHR
Zambia,Zambia,ZMB
Ghana,Ghana,GHA
Slovenia,Slovenia,SVN
New Zealand,New Zealand,NZL
Iraq,Iraq,IRQ
Costa Rica,Costa Rica,CRI
Denmark,Denmark,DNK
Andorra,World,OWID_WRL
Nepal,Nepal,NPL
Jamaica,Jamaica,JAM
Cambodia,Cambodia,KHM
Kenya,Kenya,KEN
Cote D'Ivoire,World,OWID_WRL
Mozambique,Mozambique,MOZ
Cyprus,Cyprus,CYP
Democratic Republic of the Congo,Democratic Republic of Congo,COD
British Virgin Islands,British Virgin Islands,VGB
Nicaragua,Nicaragua,NIC
Tunisia,Tunisia,TUN
Sri Lanka,Sri Lanka,LKA
Lesotho,Lesotho,LSO
Ecuador,Ecuador,ECU
Afghanistan,Afghanistan,AFG
Curacao,World,OWID_WRL
Bolivia,Bolivia,BOL
Luxembourg,Luxembourg,LUX
Uruguay,Uruguay,URY
Cameroon,Cameroon,CMR
Malawi,Malawi,MWI
Chile,Chile,CHL
Pakistan,Pakistan,PAK
Uganda,Uganda,UGA
Algeria,Algeria,DZA
Guatemala,Guatemala,GTM
Bermuda,Bermuda,BMU
"Macau SAR, China",World,OWID_WRL
El Salvador,El Salvador,SLV
Suriname,Suriname,SUR
West Bank,Palestine,PSE
Botswana,Botswana,BWA
Niger,Niger,NER
Yemen,Yemen,YEM
Mauritius,Mauritius,MUS
Malta,Malta,MLT
Cuba,Cuba,CUB
Benin,Benin,BEN
Puerto Rico,Puerto Rico,PRI
Mali,Mali,MLI
Senegal,Senegal,SEN
Namibia,Namibia,NAM
Central African Republic,Central African Republic,CAF
Belize,Belize,BLZ
Togo,Togo,TGO
Madagascar,Madagascar,MDG
Tonga,Tonga,TON
Fiji,Fiji,FJI
Gibraltar,Gibraltar,GIB
Sudan,Sudan,SDN
Burundi,Burundi,BDI
Antigua and Barbuda,Antigua and Barbuda,ATG
Liechtenstein,World,OWID_WRL
Guinea,Guinea,GIN
Barbados,Barbados,BRB
French Polynesia,French Polynesia,PYF
